Design,ROWS,COLS,Group_Size,MACs_per_cycle,Area_um2,Power_mW,FLOPs_per_cycle,FLOPs_per_mm2,FLOPs_per_mW,Frequency_MHz
INT4,4,4,32,512,33788.16,14.487,1024,30308.93,70.68,500
INT8,8,8,16,1024,197533.60,73.364,2048,10367.65,27.91,500
MXINT4,4,4,32,512,47335.55,17.782,1024,21627.78,57.59,500
MXINT4_g16,8,8,16,1024,127511.49,40.650,2048,16061.38,50.38,500
MXFP4,4,4,32,512,50416.00,17.387,1024,20311.80,58.90,500
MXFP4_g16,8,8,16,1024,134442.25,38.866,2048,15231.30,52.69,500
NVFP4,8,8,16,1024,162167.16,44.215,2048,12630.08,46.32,500
MiX425b_MXINT4,4,4,32,512,46407.19,17.577,1024,22062.31,58.26,500
MiX425b_MXFP4,4,4,32,512,51998.44,18.437,1024,19693.42,55.53,500
MiX45b_MXINT4,4,4,32,512,56880.18,21.703,1024,18005.41,47.18,500
MiX45b_MXFP4,4,4,32,512,65458.26,24.054,1024,15644.00,42.57,500
MiX45b_MXINT5,4,4,32,512,61019.66,23.787,1024,16781.17,43.05,500
MiX46b_MXINT4,8,8,16,1024,130117.68,40.446,2048,15739.60,50.64,500
MiX46b_MXFP4,8,8,16,1024,154537.86,45.109,2048,13252.42,45.40,500
MiX46b_MXINT5,8,8,16,1024,139499.26,44.021,2048,14681.08,46.52,500
FP16,32,32,1,1024,1468471.65,301.074,2048,1394.65,6.80,500
