Design,ROWS,COLS,Group_Size,MACs_per_cycle,Area_um2,Power_mW,FLOPs_per_cycle,FLOPs_per_mm2,FLOPs_per_mW,Frequency_MHz
INT4,4,4,32,512,33788.16,23.306,1024,30308.93,43.94,500
INT8,4,4,32,512,95842.78,61.415,1024,10684.16,16.67,500
MXINT4,4,4,32,512,47335.55,28.432,1024,21627.78,36.02,500
MXINT4_g16,4,4,32,512,56668.50,34.242,1024,18070.00,29.90,500
MXFP4,4,4,32,512,50416.00,29.469,1024,20311.80,34.75,500
MXFP4_g16,4,4,32,512,57422.48,33.858,1024,17832.74,30.24,500
NVFP4,4,4,32,512,70390.66,36.472,1024,14547.39,28.08,500
AMXFP4,4,4,32,512,115379.96,47.668,1024,8875.02,21.48,500
MXFP4_PLUS,4,4,32,512,58394.32,32.481,1024,17535.95,31.53,500
MiX425b_MXINT4,4,4,32,512,46407.19,26.820,1024,22062.31,38.18,500
MiX425b_MXFP4,4,4,32,512,51998.44,28.452,1024,19693.42,35.99,500
MiX45b_MXINT4,4,4,32,512,56124.81,31.822,1024,18245.05,32.18,500
MiX45b_MXFP4,4,4,32,512,65458.26,37.119,1024,15644.00,27.59,500
MiX45b_MXINT5,4,4,32,512,61635.29,35.380,1024,16613.86,28.94,500
FP16,16,32,1,512,734235.82,275.762,1024,1394.65,3.71,500
